claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,r04_verdict,r04_fetched,r04_http_status,r04_proof_quote,remediation_status
R04-identity-001,node,rau,,,Akteur,"Graph node 'rau' (name RAU) is the same entity as 'thomas_rau' (Thomas Rau person)",web,https://thomasrau.eu/en/initiatives/rau,true,200,CONTRADICTION,belegt,"thomasrau.eu/en/initiatives/rau: 'From 1992 onwards architectural firm RAU has been operating...'; thomasrau.eu/en: 'Thomas Rau is an architect'; graph types rau=at_unternehmen vs thomas_rau=at_person",KEEP,R04,"RAU is Thomas Rau's architecture firm; distinct from the person node. Do not MERGE.",PROVEN,true,200,"Initiatives page names RAU as architectural firm since 1992; homepage names Thomas Rau as person/architect",N/A
R04-identity-002,node,thomas_rau,,,Akteur,"thomas_rau person node is duplicate of rau firm node",web,https://thomasrau.eu/en,true,200,PROVEN,belegt,"'The ideas in this book formed the basis for Madaster—a platform... which was founded in 2017' (Thomas Rau person); RAU listed separately under Initiatives",KEEP,R04,Canonical person node for Thomas Rau; retain separate from RAU firm,PROVEN,true,200,Madaster founded 2017 following Material Matters by Thomas Rau and Sabine Oberhuber,N/A
R04-rel-001,rel,r_madaster__VERBUNDEN_MIT_AKTEUR__rau,madaster,rau,VERBUNDEN_MIT_AKTEUR,"Madaster affiliated with actor rau",web,https://thomasrau.eu/en/initiatives/rau,true,200,UNSUPPORTED,unbelegt,"Madaster page names Thomas Rau and Sabine Oberhuber as founders; RAU firm page describes architecture practice not Madaster affiliation",DELETE,R04,"Legacy duplicate of thomas_rau link; edge targets wrong node (firm stub conflated with founder)",PROVEN,true,200,No source names both Madaster and node id rau/RAU firm as affiliated actors,APPLIED
R04-rel-002,rel,r_rau__VERBUNDEN_MIT_AKTEUR__madaster,rau,madaster,VERBUNDEN_MIT_AKTEUR,"rau affiliated with Madaster (reverse leg)",web,https://madaster.com/inspiration/from-material-passport-to-building-passport-and-what-about-a-product-passport,true,200,UNSUPPORTED,unbelegt,"Article author Marijn Emanuel; body cites 'Material Matters by Thomas Rau and Sabine Oberhuber' — person names not RAU firm",DELETE,R04,Bidirectional pair madaster↔rau; both legs unsupported after identity split,PROVEN,true,200,Founder cited as Thomas Rau (person) not architectural firm RAU,APPLIED
R04-rel-003,rel,r_madaster__VERBUNDEN_MIT_AKTEUR__thomas_rau,madaster,thomas_rau,VERBUNDEN_MIT_AKTEUR,"Madaster linked to Thomas Rau (reverse leg of bidirectional pair)",web,https://thomasrau.eu/en/initiatives/madaster,true,200,SCHEMA_VIOLATION,belegt,"Bidirectional VERBUNDEN_MIT_AKTEUR; canonical founder link is thomas_rau→madaster with evidence",DELETE,R04,Collapse bidirectional pair; delete platform→person reverse leg,PROVEN,true,200,"'Madaster... established in 2017, following the ideas as elaborated by Thomas and Sabine'",APPLIED
R04-rel-004,rel,r_thomas_rau__VERBUNDEN_MIT_AKTEUR__madaster,thomas_rau,madaster,VERBUNDEN_MIT_AKTEUR,"Thomas Rau co-founded / initiated Madaster registry",web,https://thomasrau.eu/en/initiatives/madaster,true,200,PROVEN,belegt,"'Madaster... established in 2017, following the ideas as elaborated by Thomas and Sabine in their book, Material Matters' and 'Thomas and Sabine decided to take the initiative themselves'",KEEP,R04,Surviving canonical edge after bidirectional collapse; add evidence properties,PROVEN,true,200,Madaster registry established 2017 following Material Matters by Thomas Rau and Sabine Oberhuber,APPLIED
R04-rel-005,rel,r_rau__VERBUNDEN_MIT_AKTEUR__thomas_rau,rau,thomas_rau,VERBUNDEN_MIT_AKTEUR,"rau and thomas_rau are the same actor (VERBUNDEN_MIT_AKTEUR)",web,https://thomasrau.eu/en/initiatives/rau,true,200,UNSUPPORTED,unbelegt,"Firm RAU and person Thomas Rau are related but distinct entities; no page asserts pairwise VERBUNDEN_MIT_AKTEUR tie",DELETE,R04,Wrong reltype for founder↔firm; delete unsourced edge; ESCALATE proper affiliation rel later,PROVEN,true,200,RAU described as architectural firm; Thomas Rau as person — not interchangeable nodes,APPLIED
R04-node-001,node,harvestmap,,,Akteur,"harvestmap stub is the Superuse NL Oogstkaart methodology",web,https://www.materialnomaden.at/about,true,200,CONTRADICTION,belegt,"'Der re:store – Plattform & online store wird von HarvestMAP Vienna betrieben' — AT Vienna operator not NL Superuse tool",MERGE_DUPLICATE,R04,"Stub harvestmap = HarvestMAP Vienna operator; merge into re_store_harvestmap_vienna (canonical AT node with restore.or.at sources)",PROVEN,true,200,HarvestMAP Vienna operates re:store platform; developed with Superuse support,APPLIED
R04-node-002,node,re_store_harvestmap_vienna,,,Akteur,"re:store / HarvestMAP Vienna is distinct from harvestmap stub",web,https://www.materialnomaden.at/about,true,200,PROVEN,belegt,"Same page: re:store operated by HarvestMAP Vienna; matches survivor node name",KEEP,R04,Merge target for harvestmap stub,PROVEN,true,200,re:store platform & online store operated by HarvestMAP Vienna,N/A
R04-node-003,node,rau,,,Akteur,"rau node should source from Thomas Rau personal homepage only",web,https://thomasrau.eu/en/initiatives/rau,true,200,PARTIAL,belegt,"Firm identity page exists at /initiatives/rau; graph currently sources personal homepage",ADD_SOURCE,R04,Fix primary_source_url and name clarity after edge cleanup,PROVEN,true,200,Architectural firm RAU operating since 1992,APPLIED
R04-escalate-001,node,rau_architects,,,Akteur,"rau and rau_architects may be duplicate firm nodes",web,https://thomasrau.eu/en/initiatives/rau,true,200,PARTIAL,teilweise_belegt,"Both graph nodes typed at_unternehmen; thomasrau.eu uses 'architectural firm RAU' — possible duplicate of rau_architects",ESCALATE_HUMAN,R04,Out of scope for auto-merge; human should confirm rau vs rau_architects consolidation,DEFERRED,false,,,DEFERRED
