provenance_id,issue_class,claim_id,source_shard,introducing_agent,column_shift_root_cause,misparsed_verdict,canonical_verdict,graph_element_id,from_id,to_id,rel_type_or_label,git_intro_commit,git_intro_date,git_intro_artifact,git_file_status,remediation_status,notes
G06-001,CONTRADICTION_GEO,09-lis-0006,ledger/agent_09.csv,09,none — valid CSV; genuine geo mismatch,,CONTRADICTION,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153025958211491465,bw_alte_kade_tiel,stadt_utrecht,LIEGT_IN_STADT,ed1d81d9,2026-06-06,bauteilgruppe_projekt_addresses.csv; geo extract city propagation,committed,ESCALATE_HUMAN — re-point LIEGT_IN_STADT or drop donor leak,Address Tiel; edge to Utrecht — donor bg_mehrere_boden_green_house links bw_alte_kade_tiel
G06-002,CONTRADICTION_GEO,09-lis-0078,ledger/agent_09.csv,09,none — valid CSV; genuine geo mismatch,,CONTRADICTION,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153025958211491001,bw_kerenzerbergtunnel,stadt_zuerich,LIEGT_IN_STADT,ed1d81d9,2026-06-06,donor_bauwerke_addresses; bw_kerenzerbergtunnel area_only Glarus,committed,ESCALATE_HUMAN — re-point LIEGT_IN_STADT or drop donor leak,Address Glarus/Kerenzerberg; edge to Zürich — Juch-Areal project city leak
G06-003,CONTRADICTION_GEO,09-lis-0176,ledger/agent_09.csv,09,none — valid CSV; genuine geo mismatch,,CONTRADICTION,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153025958211490485,p_big_dig_building_boston,stadt_boston,LIEGT_IN_STADT,ed1d81d9,2026-06-06,address_registry_draft.json p_big_dig_building_boston,committed,ESCALATE_HUMAN — re-point LIEGT_IN_STADT or drop donor leak,Address Cambridge MA; edge to Boston — projekte.csv staedte=Boston;Cambridge
G06-004,CONTRADICTION_GEO,09-lis-0190,ledger/agent_09.csv,09,none — valid CSV; genuine geo mismatch,,CONTRADICTION,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153025958211490597,p_circular_centre_netherlands_prinsenhof_a_reuse_pilot,stadt_arnhem,LIEGT_IN_STADT,ed1d81d9,2026-06-06,bauteilgruppe_projekt_addresses.csv Heerde vs Arnhem donor,committed,ESCALATE_HUMAN — re-point LIEGT_IN_STADT or drop donor leak,"Address Heerde; edge to Arnhem — receiver at Heerde, donor Prinsenhof Arnhem"
G06-005,CONTRADICTION_GEO,09-lis-0204,ledger/agent_09.csv,09,none — valid CSV; genuine geo mismatch,,CONTRADICTION,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155277758025176142,p_haus_hos_mehrfamilienhaus_muehlhausen,stadt_leinefelde,LIEGT_IN_STADT,ed1d81d9,2026-06-06,bauteilgruppe_projekt_addresses.csv bw_leinefelde_plattenbau_donor,committed,ESCALATE_HUMAN — re-point LIEGT_IN_STADT or drop donor leak,Address Mühlhausen; edge to Leinefelde — donor-site city leaked onto receiver project
G06-006,MALFORMED_CSV_VERDICT_200,F04-node-0001,ledger/final_cleanup_f04.csv,F04,"extra empty field: node rows use from_id,,,Akteur (3 commas) shifting http_status into verdict column",200,PROVEN,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6517,andreas_sonderegger,,Akteur,,2026-06-06,ledger/final_cleanup_f04.csv (workspace-local),untracked,F09 merge preserved canonical verdict; shard CSV still malformed,parsed_cols=18 expected=17; F10 closeout counts 17 verdict=200 (excludes F04-node-0014 blank shift)
G06-007,MALFORMED_CSV_VERDICT_200,F04-node-0002,ledger/final_cleanup_f04.csv,F04,"extra empty field: node rows use from_id,,,Akteur (3 commas) shifting http_status into verdict column",200,UNVERIFIABLE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6519,anja_rosen,,Akteur,,2026-06-06,ledger/final_cleanup_f04.csv (workspace-local),untracked,F09 merge preserved canonical verdict; shard CSV still malformed,parsed_cols=18 expected=17; F10 closeout counts 17 verdict=200 (excludes F04-node-0014 blank shift)
G06-008,MALFORMED_CSV_VERDICT_200,F04-node-0003,ledger/final_cleanup_f04.csv,F04,"extra empty field: node rows use from_id,,,Akteur (3 commas) shifting http_status into verdict column",200,UNVERIFIABLE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6660,annabelle_von_reutern,,Akteur,,2026-06-06,ledger/final_cleanup_f04.csv (workspace-local),untracked,F09 merge preserved canonical verdict; shard CSV still malformed,parsed_cols=18 expected=17; F10 closeout counts 17 verdict=200 (excludes F04-node-0014 blank shift)
G06-009,MALFORMED_CSV_VERDICT_200,F04-node-0004,ledger/final_cleanup_f04.csv,F04,"extra empty field: node rows use from_id,,,Akteur (3 commas) shifting http_status into verdict column",200,PARTIAL,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6521,annette_hillebrandt,,Akteur,,2026-06-06,ledger/final_cleanup_f04.csv (workspace-local),untracked,F09 merge preserved canonical verdict; shard CSV still malformed,parsed_cols=18 expected=17; F10 closeout counts 17 verdict=200 (excludes F04-node-0014 blank shift)
G06-010,MALFORMED_CSV_VERDICT_200,F04-node-0005,ledger/final_cleanup_f04.csv,F04,"extra empty field: node rows use from_id,,,Akteur (3 commas) shifting http_status into verdict column",200,PROVEN,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6676,barrault_pressacco,,Akteur,,2026-06-06,ledger/final_cleanup_f04.csv (workspace-local),untracked,F09 merge preserved canonical verdict; shard CSV still malformed,parsed_cols=18 expected=17; F10 closeout counts 17 verdict=200 (excludes F04-node-0014 blank shift)
