claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,coverage_level,graph_element_id
EP03-0001,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816147008,akt_ii,bt_decke,HAT_BAUTEILTYP,akt_ii -HAT_BAUTEILTYP-> Decke,web,https://en.wikipedia.org/wiki/AKT_II,true,200,PARTIAL,teilweise_belegt,empty quote or page,RESOURCE,EP-03,R07:R07-0169; page fetched but quote weak; actor_node_source_urls,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816147008
EP03-0002,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629861402,archipel_sion_ressourcerie,bt_boden,HAT_BAUTEILTYP,archipel_sion_ressourcerie -HAT_BAUTEILTYP-> Boden,contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,Live edge archipel_sion_ressourcerie -HAT_BAUTEILTYP-> bt_boden (Boden); domain Akteur valid; range Bauteiltyp vocab node per _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,KEEP,EP-03,Tier-C vocab edge; A12 aggregate decomposed to element row; no external evidence_url,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629861402
EP03-0003,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1161995774070917146,archipel_sion_ressourcerie,bt_dach,HAT_BAUTEILTYP,archipel_sion_ressourcerie -HAT_BAUTEILTYP-> Dach,contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,Live edge archipel_sion_ressourcerie -HAT_BAUTEILTYP-> bt_dach (Dach); domain Akteur valid; range Bauteiltyp vocab node per _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,KEEP,EP-03,Tier-C vocab edge; A12 aggregate decomposed to element row; no external evidence_url,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1161995774070917146
EP03-0004,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157492174443546650,archipel_sion_ressourcerie,bt_fenster,HAT_BAUTEILTYP,archipel_sion_ressourcerie -HAT_BAUTEILTYP-> Fenster,contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,Live edge archipel_sion_ressourcerie -HAT_BAUTEILTYP-> bt_fenster (Fenster); domain Akteur valid; range Bauteiltyp vocab node per _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,KEEP,EP-03,Tier-C vocab edge; A12 aggregate decomposed to element row; no external evidence_url,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157492174443546650
EP03-0005,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1164247573884602394,archipel_sion_ressourcerie,bt_technik,HAT_BAUTEILTYP,archipel_sion_ressourcerie -HAT_BAUTEILTYP-> Technik,contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,Live edge archipel_sion_ressourcerie -HAT_BAUTEILTYP-> bt_technik (Technik); domain Akteur valid; range Bauteiltyp vocab node per _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,KEEP,EP-03,Tier-C vocab edge; A12 aggregate decomposed to element row; no external evidence_url,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1164247573884602394
EP03-0006,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816176154,archipel_sion_ressourcerie,bt_traeger,HAT_BAUTEILTYP,archipel_sion_ressourcerie -HAT_BAUTEILTYP-> Traeger,contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,Live edge archipel_sion_ressourcerie -HAT_BAUTEILTYP-> bt_traeger (Traeger); domain Akteur valid; range Bauteiltyp vocab node per _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,KEEP,EP-03,Tier-C vocab edge; A12 aggregate decomposed to element row; no external evidence_url,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816176154
EP03-0007,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159743974257231898,archipel_sion_ressourcerie,bt_tuer,HAT_BAUTEILTYP,archipel_sion_ressourcerie -HAT_BAUTEILTYP-> Tuer,contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,Live edge archipel_sion_ressourcerie -HAT_BAUTEILTYP-> bt_tuer (Tuer); domain Akteur valid; range Bauteiltyp vocab node per _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,KEEP,EP-03,Tier-C vocab edge; A12 aggregate decomposed to element row; no external evidence_url,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159743974257231898
EP03-0008,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159743974257236573,articonnex,bt_ausbau,HAT_BAUTEILTYP,articonnex -HAT_BAUTEILTYP-> Ausbau,web,https://articonnex.com/collections/reemploi,true,200,PROVEN,belegt,Anti-gaspi DIY/building stock includes finishing and hardware-like product families.,ADD_SOURCE,EP-03,"R07:R07-0064; bauteilboersen_enrichment_json; token_hits=2/6 sample=['anti', 'gaspi']; review_run=remediation_r07_2026_06_06",element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159743974257236573
EP03-0009,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816180829,articonnex,bt_boden,HAT_BAUTEILTYP,articonnex -HAT_BAUTEILTYP-> Boden,web,https://articonnex.com/collections/reemploi,true,200,PROVEN,belegt,Reuse collection surfaced flooring/parquet/terrace-type items.,ADD_SOURCE,EP-03,R07:R07-0065; bauteilboersen_enrichment_json; token_hits=1/4 sample=['parquet']; review_run=remediation_r07_2026_06_06,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816180829
EP03-0010,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629866077,articonnex,bt_daemmung,HAT_BAUTEILTYP,articonnex -HAT_BAUTEILTYP-> Daemmung,web,https://articonnex.com/collections/reemploi,true,200,PARTIAL,teilweise_belegt,empty quote or page,RESOURCE,EP-03,R07:R07-0170; page fetched but quote weak; actor_node_source_urls,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629866077
EP03-0011,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157492174443551325,articonnex,bt_fassade,HAT_BAUTEILTYP,articonnex -HAT_BAUTEILTYP-> Fassade,web,https://articonnex.com/collections/reemploi,true,200,PARTIAL,teilweise_belegt,empty quote or page,RESOURCE,EP-03,R07:R07-0171; page fetched but quote weak; actor_node_source_urls,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157492174443551325
EP03-0012,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1161995774070921821,articonnex,bt_traeger,HAT_BAUTEILTYP,articonnex -HAT_BAUTEILTYP-> Traeger,web,https://articonnex.com/collections/reemploi,true,200,PARTIAL,teilweise_belegt,empty quote or page,RESOURCE,EP-03,R07:R07-0172; page fetched but quote weak; actor_node_source_urls,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1161995774070921821
EP03-0013,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1161995774070921822,backacia,bt_ausbau,HAT_BAUTEILTYP,backacia -HAT_BAUTEILTYP-> Ausbau,web,https://backacia.com/collections/autres,true,200,PROVEN,belegt,"Backacia collection text names cloisons, sanitaires, luminaires and broader specialized fit-out materials.",ADD_SOURCE,EP-03,"R07:R07-0066; bauteilboersen_enrichment_json; token_hits=5/9 sample=['backacia', 'text', 'cloisons', 'sanitaires']; review_run=remediation_r07_2026_06_06",element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1161995774070921822
